S:2011-03-24 23:59:24 E:2015-05-07 23:04:13 Price:null
S:2015-05-07 23:04:13 E:2017-12-08 23:05:17 Price:13.39
S:2017-12-08 23:05:17 E:2017-12-09 00:06:33 Price:null
S:2017-12-09 00:06:33 E:2017-12-16 18:51:21 Price:13.39
S:2017-12-16 18:51:21 E:2017-12-16 19:52:24 Price:null
S:2017-12-16 19:52:24 E:2017-12-28 18:36:31 Price:13.39
S:2017-12-28 18:36:31 E:2017-12-28 20:19:15 Price:null
S:2017-12-28 20:19:15 E:2018-01-06 23:27:29 Price:13.39
S:2018-01-06 23:27:29 E:2018-01-07 00:28:14 Price:null
S:2018-01-07 00:28:14 E:2018-01-15 16:53:23 Price:13.39
S:2018-01-15 16:53:23 E:2018-01-15 17:54:31 Price:null
S:2018-01-15 17:54:31 E:2018-01-27 00:24:01 Price:13.39
S:2018-01-27 00:24:01 E:2018-01-27 01:24:21 Price:null
S:2018-01-27 01:24:21 E:2018-01-30 02:10:23 Price:13.39
S:2018-01-30 02:10:23 E:2018-01-30 03:11:19 Price:null
S:2018-01-30 03:11:19 E:2018-01-30 07:18:30 Price:13.39
S:2018-01-30 07:18:30 E:2018-01-30 08:19:23 Price:null
S:2018-01-30 08:19:23 E:2019-03-15 11:02:26 Price:13.39
S:2019-03-15 11:02:26 E:2019-03-15 23:03:20 Price:null
S:2019-03-15 23:03:20 E:2019-05-15 04:15:52 Price:13.39
S:2019-05-15 04:15:52 E:2019-05-15 16:17:18 Price:null
S:2019-05-15 16:17:18 E:2019-09-25 14:09:27 Price:13.39
S:2019-09-25 14:09:27 E:2020-03-31 10:13:14 Price:14.49}],S:2011-03-24 23:59:24 S:2015-05-07 23:04:13 S:2017-12-08 23:05:17 S:2017-12-09 00:06:33 S:2017-12-16 18:51:21 S:2017-12-16 19:52:24 S:2017-12-28 18:36:31 S:2017-12-28 20:19:15 S:2018-01-06 23:27:29 S:2018-01-07 00:28:14 S:2018-01-15 16:53:23 S:2018-01-15 17:54:31 S:2018-01-27 00:24:01 S:2018-01-27 01:24:21 S:2018-01-30 02:10:23 S:2018-01-30 03:11:19 S:2018-01-30 07:18:30 S:2018-01-30 08:19:23 S:2019-03-15 11:02:26 S:2019-03-15 23:03:20 S:2019-05-15 04:15:52 S:2019-05-15 16:17:18 S:2019-09-25 14:09:27 S:2011-03-24 23:59:24 S:2015-05-07 23:04:13 S:2017-12-08 23:05:17 S:2017-12-09 00:06:33 S:2017-12-16 18:51:21 S:2017-12-16 19:52:24 S:2017-12-28 18:36:31 S:2017-12-28 20:19:15 S:2018-01-06 23:27:29 S:2018-01-07 00:28:14 S:2018-01-15 16:53:23 S:2018-01-15 17:54:31 S:2018-01-27 00:24:01 S:2018-01-27 01:24:21 S:2018-01-30 02:10:23 S:2018-01-30 03:11:19 S:2018-01-30 07:18:30 S:2018-01-30 08:19:23 S:2019-03-15 11:02:26 S:2019-03-15 23:03:20 S:2019-05-15 04:15:52 S:2019-05-15 16:17:18 S:2019-09-25 14:09:27 S:2011-03-24 23:59:24 S:2015-05-07 23:04:13 S:2017-12-08 23:05:17 S:2017-12-09 00:06:33 S:2017-12-16 18:51:21 S:2017-12-16 19:52:24 S:2017-12-28 18:36:31 S:2017-12-28 20:19:15 S:2018-01-06 23:27:29 S:2018-01-07 00:28:14 S:2018-01-15 16:53:23 S:2018-01-15 17:54:31 S:2018-01-27 00:24:01 S:2018-01-27 01:24:21 S:2018-01-30 02:10:23 S:2018-01-30 03:11:19 S:2018-01-30 07:18:30 S:2018-01-30 08:19:23 S:2019-03-15 11:02:26 S:2019-03-15 23:03:20 S:2019-05-15 04:15:52 S:2019-05-15 16:17:18 S:2019-09-25 14:09:27 S:2011-03-24 23:59:24 S:2015-05-07 23:04:13 S:2017-12-08 23:05:17 S:2017-12-09 00:06:33 S:2017-12-16 18:51:21 S:2017-12-16 19:52:24 S:2017-12-28 18:36:31 S:2017-12-28 20:19:15 S:2018-01-06 23:27:29 S:2018-01-07 00:28:14 S:2018-01-15 16:53:23 S:2018-01-15 17:54:31 S:2018-01-27 00:24:01 S:2018-01-27 01:24:21 S:2018-01-30 02:10:23 S:2018-01-30 03:11:19 S:2018-01-30 07:18:30 S:2018-01-30 08:19:23 S:2019-03-15 11:02:26 S:2019-03-15 23:03:20 S:2019-05-15 04:15:52 S:2019-05-15 16:17:18 S:2019-09-25 14:09:27S:2011-03-24 23:59:24 E:2015-05-07 23:04:13 Price:null
S:2015-05-07 23:04:13 E:2017-12-08 23:05:17 Price:13.39
S:2017-12-08 23:05:17 E:2017-12-09 00:06:33 Price:null
S:2017-12-09 00:06:33 E:2017-12-16 18:51:21 Price:13.39
S:2017-12-16 18:51:21 E:2017-12-16 19:52:24 Price:null
S:2017-12-16 19:52:24 E:2017-12-28 18:36:31 Price:13.39
S:2017-12-28 18:36:31 E:2017-12-28 20:19:15 Price:null
S:2017-12-28 20:19:15 E:2018-01-06 23:27:29 Price:13.39
S:2018-01-06 23:27:29 E:2018-01-07 00:28:14 Price:null
S:2018-01-07 00:28:14 E:2018-01-15 16:53:23 Price:13.39
S:2018-01-15 16:53:23 E:2018-01-15 17:54:31 Price:null
S:2018-01-15 17:54:31 E:2018-01-27 00:24:01 Price:13.39
S:2018-01-27 00:24:01 E:2018-01-27 01:24:21 Price:null
S:2018-01-27 01:24:21 E:2018-01-30 02:10:23 Price:13.39
S:2018-01-30 02:10:23 E:2018-01-30 03:11:19 Price:null
S:2018-01-30 03:11:19 E:2018-01-30 07:18:30 Price:13.39
S:2018-01-30 07:18:30 E:2018-01-30 08:19:23 Price:null
S:2018-01-30 08:19:23 E:2019-03-15 11:02:26 Price:13.39
S:2019-03-15 11:02:26 E:2019-03-15 23:03:20 Price:null
S:2019-03-15 23:03:20 E:2019-05-15 04:15:52 Price:13.39
S:2019-05-15 04:15:52 E:2019-05-15 16:17:18 Price:null
S:2019-05-15 16:17:18 E:2019-09-25 14:09:27 Price:13.39
