S:2011-03-25 00:00:00 E:2015-05-13 10:45:44 Price:null
S:2015-05-13 10:45:44 E:2017-12-08 18:19:43 Price:21.55
S:2017-12-08 18:19:43 E:2017-12-08 19:20:38 Price:null
S:2017-12-08 19:20:38 E:2018-01-01 15:20:20 Price:21.55
S:2018-01-01 15:20:20 E:2018-01-01 16:21:20 Price:null
S:2018-01-01 16:21:20 E:2018-01-12 15:02:15 Price:21.55
S:2018-01-12 15:02:15 E:2018-01-12 16:03:09 Price:null
S:2018-01-12 16:03:09 E:2018-01-16 13:35:31 Price:21.55
S:2018-01-16 13:35:31 E:2018-01-16 14:36:41 Price:null
S:2018-01-16 14:36:41 E:2018-01-19 12:11:03 Price:21.55
S:2018-01-19 12:11:03 E:2018-01-19 13:12:27 Price:null
S:2018-01-19 13:12:27 E:2018-01-23 09:16:46 Price:21.55
S:2018-01-23 09:16:46 E:2018-01-23 10:17:09 Price:null
S:2018-01-23 10:17:09 E:2019-03-07 11:51:10 Price:21.55
S:2019-03-07 11:51:10 E:2019-03-07 23:52:53 Price:null
S:2019-03-07 23:52:53 E:2019-04-05 07:37:28 Price:21.55
S:2019-04-05 07:37:28 E:2019-11-16 05:34:44 Price:29.78
S:2019-11-16 05:34:44 E:2019-11-16 17:32:19 Price:null
S:2019-11-16 17:32:19 E:2019-11-30 12:05:31 Price:29.78
S:2019-11-30 12:05:31 E:2019-12-01 00:06:11 Price:null
S:2019-12-01 00:06:11 E:2020-03-31 11:57:03 Price:29.78}],S:2011-03-25 00:00:00 E:2015-05-13 10:45:44 Price:null
S:2015-05-13 10:45:44 E:2017-12-08 18:19:43 Price:21.55
S:2017-12-08 18:19:43 E:2017-12-08 19:20:38 Price:null
S:2017-12-08 19:20:38 E:2018-01-01 15:20:20 Price:21.55
S:2018-01-01 15:20:20 E:2018-01-01 16:21:20 Price:null
S:2018-01-01 16:21:20 E:2018-01-12 15:02:15 Price:21.55
S:2018-01-12 15:02:15 E:2018-01-12 16:03:09 Price:null
S:2018-01-12 16:03:09 E:2018-01-16 13:35:31 Price:21.55
S:2018-01-16 13:35:31 E:2018-01-16 14:36:41 Price:null
S:2018-01-16 14:36:41 E:2018-01-19 12:11:03 Price:21.55
S:2018-01-19 12:11:03 E:2018-01-19 13:12:27 Price:null
S:2018-01-19 13:12:27 E:2018-01-23 09:16:46 Price:21.55
S:2018-01-23 09:16:46 E:2018-01-23 10:17:09 Price:null
S:2018-01-23 10:17:09 E:2019-03-07 11:51:10 Price:21.55
S:2019-03-07 11:51:10 E:2019-03-07 23:52:53 Price:null
S:2019-03-07 23:52:53 E:2019-04-05 07:37:28 Price:21.55
S:2019-04-05 07:37:28 E:2019-11-16 05:34:44 Price:29.78
S:2019-11-16 05:34:44 E:2019-11-16 17:32:19 Price:null
S:2019-11-16 17:32:19 E:2019-11-30 12:05:31 Price:29.78
S:2019-11-30 12:05:31 E:2019-12-01 00:06:11 Price:null
S:2019-12-01 00:06:11 E:2020-03-31 11:57:03 Price:29.78}],S:2011-03-25 00:00:00 E:2015-05-13 10:45:44 Price:null
S:2015-05-13 10:45:44 E:2017-12-08 18:19:43 Price:21.55
S:2017-12-08 18:19:43 E:2017-12-08 19:20:38 Price:null
S:2017-12-08 19:20:38 E:2018-01-01 15:20:20 Price:21.55
S:2018-01-01 15:20:20 E:2018-01-01 16:21:20 Price:null
S:2018-01-01 16:21:20 E:2018-01-12 15:02:15 Price:21.55
S:2018-01-12 15:02:15 E:2018-01-12 16:03:09 Price:null
S:2018-01-12 16:03:09 E:2018-01-16 13:35:31 Price:21.55
S:2018-01-16 13:35:31 E:2018-01-16 14:36:41 Price:null
S:2018-01-16 14:36:41 E:2018-01-19 12:11:03 Price:21.55
S:2018-01-19 12:11:03 E:2018-01-19 13:12:27 Price:null
S:2018-01-19 13:12:27 E:2018-01-23 09:16:46 Price:21.55
S:2018-01-23 09:16:46 E:2018-01-23 10:17:09 Price:null
S:2018-01-23 10:17:09 E:2019-03-07 11:51:10 Price:21.55
S:2019-03-07 11:51:10 E:2019-03-07 23:52:53 Price:null
S:2019-03-07 23:52:53 E:2019-04-05 07:37:28 Price:21.55
S:2019-04-05 07:37:28 E:2019-11-16 05:34:44 Price:29.78
S:2019-11-16 05:34:44 E:2019-11-16 17:32:19 Price:null
S:2019-11-16 17:32:19 E:2019-11-30 12:05:31 Price:29.78
S:2019-11-30 12:05:31 E:2019-12-01 00:06:11 Price:null
S:2019-12-01 00:06:11 E:2020-03-31 11:57:03 Price:29.78}],
