S:2011-05-12 09:00:30 E:2015-05-10 01:39:10 Price:null
S:2015-05-10 01:39:10 E:2017-12-29 09:04:15 Price:106.86
S:2017-12-29 09:04:15 E:2017-12-29 10:05:09 Price:null
S:2017-12-29 10:05:09 E:2018-01-01 20:30:04 Price:106.86
S:2018-01-01 20:30:04 E:2018-01-01 21:31:06 Price:null
S:2018-01-01 21:31:06 E:2018-01-02 21:57:10 Price:106.86
S:2018-01-02 21:57:10 E:2018-01-02 22:58:20 Price:null
S:2018-01-02 22:58:20 E:2018-01-09 11:45:08 Price:106.86
S:2018-01-09 11:45:08 E:2018-01-09 12:46:36 Price:null
S:2018-01-09 12:46:36 E:2018-01-18 14:50:08 Price:106.86
S:2018-01-18 14:50:08 E:2018-01-18 15:51:10 Price:null
S:2018-01-18 15:51:10 E:2018-01-22 09:35:38 Price:106.86
S:2018-01-22 09:35:38 E:2018-01-22 10:36:54 Price:null
S:2018-01-22 10:36:54 E:2018-01-27 01:00:18 Price:106.86
S:2018-01-27 01:00:18 E:2018-01-27 02:01:08 Price:null
S:2018-01-27 02:01:08 E:2018-01-27 04:04:07 Price:106.86
S:2018-01-27 04:04:07 E:2018-01-27 05:05:13 Price:null
S:2018-01-27 05:05:13 E:2019-01-23 08:41:14 Price:106.86
S:2019-01-23 08:41:14 E:2019-04-05 11:28:16 Price:183.84
S:2019-04-05 11:28:16 E:2019-06-10 13:29:59 Price:106.86
S:2019-06-10 13:29:59 E:2019-06-11 01:30:09 Price:null
S:2019-06-11 01:30:09 E:2020-01-14 16:57:06 Price:106.86
S:2020-01-14 16:57:06 E:2020-01-15 04:57:31 Price:null
S:2020-01-15 04:57:31 E:2020-03-31 11:51:05 Price:106.86}],S:2011-05-12 09:00:30 E:2015-05-10 01:39:10 Price:null
S:2015-05-10 01:39:10 E:2017-12-29 09:04:15 Price:106.86
S:2017-12-29 09:04:15 E:2017-12-29 10:05:09 Price:null
S:2017-12-29 10:05:09 E:2018-01-01 20:30:04 Price:106.86
S:2018-01-01 20:30:04 E:2018-01-01 21:31:06 Price:null
S:2018-01-01 21:31:06 E:2018-01-02 21:57:10 Price:106.86
S:2018-01-02 21:57:10 E:2018-01-02 22:58:20 Price:null
S:2018-01-02 22:58:20 E:2018-01-09 11:45:08 Price:106.86
S:2018-01-09 11:45:08 E:2018-01-09 12:46:36 Price:null
S:2018-01-09 12:46:36 E:2018-01-18 14:50:08 Price:106.86
S:2018-01-18 14:50:08 E:2018-01-18 15:51:10 Price:null
S:2018-01-18 15:51:10 E:2018-01-22 09:35:38 Price:106.86
S:2018-01-22 09:35:38 E:2018-01-22 10:36:54 Price:null
S:2018-01-22 10:36:54 E:2018-01-27 01:00:18 Price:106.86
S:2018-01-27 01:00:18 E:2018-01-27 02:01:08 Price:null
S:2018-01-27 02:01:08 E:2018-01-27 04:04:07 Price:106.86
S:2018-01-27 04:04:07 E:2018-01-27 05:05:13 Price:null
S:2018-01-27 05:05:13 E:2019-01-23 08:41:14 Price:106.86
S:2019-01-23 08:41:14 E:2019-04-05 11:28:16 Price:183.84
S:2019-04-05 11:28:16 E:2019-06-10 13:29:59 Price:106.86
S:2019-06-10 13:29:59 E:2019-06-11 01:30:09 Price:null
S:2019-06-11 01:30:09 E:2020-01-14 16:57:06 Price:106.86
S:2020-01-14 16:57:06 E:2020-01-15 04:57:31 Price:null
S:2020-01-15 04:57:31 E:2020-03-31 11:51:05 Price:106.86}],S:2011-05-12 09:00:30 E:2015-05-10 01:39:10 Price:null
S:2015-05-10 01:39:10 E:2017-12-29 09:04:15 Price:106.86
S:2017-12-29 09:04:15 E:2017-12-29 10:05:09 Price:null
S:2017-12-29 10:05:09 E:2018-01-01 20:30:04 Price:106.86
S:2018-01-01 20:30:04 E:2018-01-01 21:31:06 Price:null
S:2018-01-01 21:31:06 E:2018-01-02 21:57:10 Price:106.86
S:2018-01-02 21:57:10 E:2018-01-02 22:58:20 Price:null
S:2018-01-02 22:58:20 E:2018-01-09 11:45:08 Price:106.86
S:2018-01-09 11:45:08 E:2018-01-09 12:46:36 Price:null
S:2018-01-09 12:46:36 E:2018-01-18 14:50:08 Price:106.86
S:2018-01-18 14:50:08 E:2018-01-18 15:51:10 Price:null
S:2018-01-18 15:51:10 E:2018-01-22 09:35:38 Price:106.86
S:2018-01-22 09:35:38 E:2018-01-22 10:36:54 Price:null
S:2018-01-22 10:36:54 E:2018-01-27 01:00:18 Price:106.86
S:2018-01-27 01:00:18 E:2018-01-27 02:01:08 Price:null
S:2018-01-27 02:01:08 E:2018-01-27 04:04:07 Price:106.86
S:2018-01-27 04:04:07 E:2018-01-27 05:05:13 Price:null
S:2018-01-27 05:05:13 E:2019-01-23 08:41:14 Price:106.86
S:2019-01-23 08:41:14 E:2019-04-05 11:28:16 Price:183.84
S:2019-04-05 11:28:16 E:2019-06-10 13:29:59 Price:106.86
S:2019-06-10 13:29:59 E:2019-06-11 01:30:09 Price:null
S:2019-06-11 01:30:09 E:2020-01-14 16:57:06 Price:106.86
S:2020-01-14 16:57:06 E:2020-01-15 04:57:31 Price:null
S:2020-01-15 04:57:31 E:2020-03-31 11:51:05 Price:106.86}],
