S:2015-02-03 00:00:00 E:2015-05-10 12:31:00 Price:null
S:2015-05-10 12:31:00 E:2017-12-15 15:17:12 Price:6.75
S:2017-12-15 15:17:12 E:2017-12-15 16:18:13 Price:null
S:2017-12-15 16:18:13 E:2017-12-16 15:04:08 Price:6.75
S:2017-12-16 15:04:08 E:2017-12-16 16:05:21 Price:null
S:2017-12-16 16:05:21 E:2017-12-21 13:13:06 Price:6.75
S:2017-12-21 13:13:06 E:2017-12-21 14:15:28 Price:null
S:2017-12-21 14:15:28 E:2018-01-09 11:23:23 Price:6.75
S:2018-01-09 11:23:23 E:2018-01-09 12:24:20 Price:null
S:2018-01-09 12:24:20 E:2018-01-09 13:56:07 Price:6.75
S:2018-01-09 13:56:07 E:2018-01-09 14:57:10 Price:null
S:2018-01-09 14:57:10 E:2018-01-19 14:08:02 Price:6.75
S:2018-01-19 14:08:02 E:2018-01-19 15:09:05 Price:null
S:2018-01-19 15:09:05 E:2018-04-21 21:23:32 Price:6.75
S:2018-04-21 21:23:32 E:2018-04-24 21:27:39 Price:null
S:2018-04-24 21:27:39 E:2019-04-06 15:14:41 Price:6.75
S:2019-04-06 15:14:41 E:2019-04-07 03:16:33 Price:null
S:2019-04-07 03:16:33 E:2020-03-31 11:59:02 Price:6.75}],S:2015-02-03 00:00:00 E:2015-05-10 12:31:00 Price:null
S:2015-05-10 12:31:00 E:2017-12-15 15:17:12 Price:6.75
S:2017-12-15 15:17:12 E:2017-12-15 16:18:13 Price:null
S:2017-12-15 16:18:13 E:2017-12-16 15:04:08 Price:6.75
S:2017-12-16 15:04:08 E:2017-12-16 16:05:21 Price:null
S:2017-12-16 16:05:21 E:2017-12-21 13:13:06 Price:6.75
S:2017-12-21 13:13:06 E:2017-12-21 14:15:28 Price:null
S:2017-12-21 14:15:28 E:2018-01-09 11:23:23 Price:6.75
S:2018-01-09 11:23:23 E:2018-01-09 12:24:20 Price:null
S:2018-01-09 12:24:20 E:2018-01-09 13:56:07 Price:6.75
S:2018-01-09 13:56:07 E:2018-01-09 14:57:10 Price:null
S:2018-01-09 14:57:10 E:2018-01-19 14:08:02 Price:6.75
S:2018-01-19 14:08:02 E:2018-01-19 15:09:05 Price:null
S:2018-01-19 15:09:05 E:2018-04-21 21:23:32 Price:6.75
S:2018-04-21 21:23:32 E:2018-04-24 21:27:39 Price:null
S:2018-04-24 21:27:39 E:2019-04-06 15:14:41 Price:6.75
S:2019-04-06 15:14:41 E:2019-04-07 03:16:33 Price:null
S:2019-04-07 03:16:33 E:2020-03-31 11:59:02 Price:6.75}],S:2015-02-03 00:00:00 E:2015-05-10 12:31:00 Price:null
S:2015-05-10 12:31:00 E:2017-12-15 15:17:12 Price:6.75
S:2017-12-15 15:17:12 E:2017-12-15 16:18:13 Price:null
S:2017-12-15 16:18:13 E:2017-12-16 15:04:08 Price:6.75
S:2017-12-16 15:04:08 E:2017-12-16 16:05:21 Price:null
S:2017-12-16 16:05:21 E:2017-12-21 13:13:06 Price:6.75
S:2017-12-21 13:13:06 E:2017-12-21 14:15:28 Price:null
S:2017-12-21 14:15:28 E:2018-01-09 11:23:23 Price:6.75
S:2018-01-09 11:23:23 E:2018-01-09 12:24:20 Price:null
S:2018-01-09 12:24:20 E:2018-01-09 13:56:07 Price:6.75
S:2018-01-09 13:56:07 E:2018-01-09 14:57:10 Price:null
S:2018-01-09 14:57:10 E:2018-01-19 14:08:02 Price:6.75
S:2018-01-19 14:08:02 E:2018-01-19 15:09:05 Price:null
S:2018-01-19 15:09:05 E:2018-04-21 21:23:32 Price:6.75
S:2018-04-21 21:23:32 E:2018-04-24 21:27:39 Price:null
S:2018-04-24 21:27:39 E:2019-04-06 15:14:41 Price:6.75
S:2019-04-06 15:14:41 E:2019-04-07 03:16:33 Price:null
S:2019-04-07 03:16:33 E:2020-03-31 11:59:02 Price:6.75}],
