S:2011-03-24 23:59:23 E:2015-05-08 02:46:26 Price:null
S:2015-05-08 02:46:26 E:2017-06-08 08:41:58 Price:70
S:2017-06-08 08:41:58 E:2017-06-14 00:00:14 Price:49.2
S:2017-06-14 00:00:14 E:2017-06-16 15:03:51 Price:49.84
S:2017-06-16 15:03:51 E:2017-06-21 15:21:22 Price:53.27
S:2017-06-21 15:21:22 E:2017-06-29 18:49:42 Price:53.68
S:2017-06-29 18:49:42 E:2017-07-04 07:19:33 Price:51.53
S:2017-07-04 07:19:33 E:2017-07-06 00:57:53 Price:49.49
S:2017-07-06 00:57:53 E:2017-09-05 20:05:01 Price:53.68
S:2017-09-05 20:05:01 E:2017-09-06 22:07:38 Price:52.97
S:2017-09-06 22:07:38 E:2017-09-21 16:47:54 Price:52.04
S:2017-09-21 16:47:54 E:2017-09-22 13:41:54 Price:51.64
S:2017-09-22 13:41:54 E:2017-09-24 20:34:56 Price:51
S:2017-09-24 20:34:56 E:2017-09-27 00:22:42 Price:49.6
S:2017-09-27 00:22:42 E:2017-10-05 22:05:31 Price:51.64
S:2017-10-05 22:05:31 E:2017-10-13 22:11:50 Price:53.53
S:2017-10-13 22:11:50 E:2017-10-16 23:10:54 Price:53.68
S:2017-10-16 23:10:54 E:2017-10-18 11:54:08 Price:53.53
S:2017-10-18 11:54:08 E:2017-10-26 11:12:32 Price:51.87
S:2017-10-26 11:12:32 E:2017-10-27 03:03:36 Price:51.71
S:2017-10-27 03:03:36 E:2017-10-31 23:56:21 Price:51.67
S:2017-10-31 23:56:21 E:2017-11-11 11:16:51 Price:51.86
S:2017-11-11 11:16:51 E:2017-11-25 07:29:55 Price:51.69
S:2017-11-25 07:29:55 E:2017-11-27 17:59:17 Price:44.72
S:2017-11-27 17:59:17 E:2017-11-27 20:18:00 Price:70
S:2017-11-27 20:18:00 E:2017-11-27 21:08:31 Price:44.72
S:2017-11-27 21:08:31 E:2017-11-28 04:46:04 Price:70
S:2017-11-28 04:46:04 E:2017-11-28 05:17:40 Price:44.72
S:2017-11-28 05:17:40 E:2017-11-28 08:06:14 Price:70
S:2017-11-28 08:06:14 E:2017-11-28 08:20:43 Price:44.72
S:2017-11-28 08:20:43 E:2017-11-28 23:01:20 Price:70
S:2017-11-28 23:01:20 E:2017-12-03 07:56:15 Price:44.72
S:2017-12-03 07:56:15 E:2017-12-03 14:22:06 Price:70
S:2017-12-03 14:22:06 E:2017-12-03 14:34:23 Price:44.72
S:2017-12-03 14:34:23 E:2017-12-03 19:26:15 Price:70
S:2017-12-03 19:26:15 E:2017-12-03 19:43:28 Price:44.72
S:2017-12-03 19:43:28 E:2017-12-04 02:58:41 Price:70
S:2017-12-04 02:58:41 E:2017-12-04 03:07:20 Price:44.72
S:2017-12-04 03:07:20 E:2017-12-04 08:46:23 Price:70
S:2017-12-04 08:46:23 E:2017-12-04 16:22:23 Price:44.72
S:2017-12-04 16:22:23 E:2017-12-04 19:18:52 Price:70
S:2017-12-04 19:18:52 E:2017-12-06 05:37:16 Price:44.72
S:2017-12-06 05:37:16 E:2017-12-06 06:08:13 Price:70
S:2017-12-06 06:08:13 E:2017-12-06 13:07:57 Price:44.72
S:2017-12-06 13:07:57 E:2017-12-06 13:44:52 Price:70
S:2017-12-06 13:44:52 E:2017-12-06 17:03:40 Price:44.72
S:2017-12-06 17:03:40 E:2017-12-06 18:24:33 Price:70
S:2017-12-06 18:24:33 E:2017-12-06 19:19:19 Price:44.72
S:2017-12-06 19:19:19 E:2017-12-06 21:26:21 Price:70
S:2017-12-06 21:26:21 E:2017-12-06 21:57:27 Price:44.72
S:2017-12-06 21:57:27 E:2017-12-06 22:41:20 Price:70
S:2017-12-06 22:41:20 E:2017-12-06 22:58:35 Price:44.72
S:2017-12-06 22:58:35 E:2017-12-07 06:17:44 Price:70
S:2017-12-07 06:17:44 E:2017-12-07 08:14:05 Price:44.72
S:2017-12-07 08:14:05 E:2017-12-07 09:16:50 Price:70
S:2017-12-07 09:16:50 E:2017-12-07 10:17:35 Price:44.72
S:2017-12-07 10:17:35 E:2017-12-07 11:49:38 Price:70
S:2017-12-07 11:49:38 E:2017-12-07 12:19:20 Price:44.72
S:2017-12-07 12:19:20 E:2017-12-07 13:17:28 Price:70
S:2017-12-07 13:17:28 E:2017-12-07 13:24:23 Price:44.72
S:2017-12-07 13:24:23 E:2017-12-07 22:10:58 Price:70
S:2017-12-07 22:10:58 E:2017-12-07 22:35:13 Price:44.72
S:2017-12-07 22:35:13 E:2017-12-08 01:22:17 Price:70
S:2017-12-08 01:22:17 E:2017-12-08 01:38:37 Price:44.72
S:2017-12-08 01:38:37 E:2017-12-08 04:30:44 Price:70
S:2017-12-08 04:30:44 E:2017-12-08 04:41:37 Price:44.72
S:2017-12-08 04:41:37 E:2017-12-08 05:55:00 Price:70
S:2017-12-08 05:55:00 E:2017-12-08 06:54:59 Price:44.72
S:2017-12-08 06:54:59 E:2017-12-08 10:00:48 Price:70
S:2017-12-08 10:00:48 E:2017-12-08 11:01:12 Price:null
S:2017-12-08 11:01:12 E:2017-12-08 11:14:20 Price:70
S:2017-12-08 11:14:20 E:2017-12-08 12:02:29 Price:44.72
S:2017-12-08 12:02:29 E:2017-12-08 13:33:31 Price:70
S:2017-12-08 13:33:31 E:2017-12-08 14:04:17 Price:44.72
S:2017-12-08 14:04:17 E:2017-12-08 17:15:56 Price:70
S:2017-12-08 17:15:56 E:2017-12-08 18:08:31 Price:44.72
S:2017-12-08 18:08:31 E:2017-12-08 18:40:20 Price:70
S:2017-12-08 18:40:20 E:2017-12-08 19:09:29 Price:44.72
S:2017-12-08 19:09:29 E:2017-12-08 23:53:17 Price:70
S:2017-12-08 23:53:17 E:2017-12-09 00:15:33 Price:44.72
S:2017-12-09 00:15:33 E:2017-12-09 02:36:27 Price:70
S:2017-12-09 02:36:27 E:2017-12-09 04:05:28 Price:44.72
S:2017-12-09 04:05:28 E:2017-12-09 05:23:45 Price:70
S:2017-12-09 05:23:45 E:2017-12-09 10:40:21 Price:44.72
S:2017-12-09 10:40:21 E:2017-12-09 12:09:51 Price:70
S:2017-12-09 12:09:51 E:2017-12-10 11:42:11 Price:44.72
S:2017-12-10 11:42:11 E:2017-12-28 03:39:13 Price:70
S:2017-12-28 03:39:13 E:2017-12-28 04:41:32 Price:null
S:2017-12-28 04:41:32 E:2017-12-31 10:24:51 Price:70
S:2017-12-31 10:24:51 E:2017-12-31 11:25:14 Price:null
S:2017-12-31 11:25:14 E:2018-01-02 13:15:17 Price:70
S:2018-01-02 13:15:17 E:2018-01-02 14:16:11 Price:null
S:2018-01-02 14:16:11 E:2018-01-03 01:29:09 Price:70
S:2018-01-03 01:29:09 E:2018-01-03 02:30:13 Price:null
