S:2011-05-10 07:00:57 E:2015-05-10 12:05:00 Price:null
S:2015-05-10 12:05:00 E:2016-04-29 02:40:53 Price:923.71
S:2016-04-29 02:40:53 E:2016-09-03 06:08:39 Price:null
S:2016-09-03 06:08:39 E:2016-12-02 03:48:02 Price:923.71
S:2016-12-02 03:48:02 E:2017-01-02 10:02:50 Price:588.03
S:2017-01-02 10:02:50 E:2017-01-12 00:25:34 Price:547.97
S:2017-01-12 00:25:34 E:2017-01-18 01:36:59 Price:547.27
S:2017-01-18 01:36:59 E:2017-02-20 16:18:06 Price:531.58
S:2017-02-20 16:18:06 E:2017-02-21 02:38:08 Price:526.42
S:2017-02-21 02:38:08 E:2017-02-25 22:54:05 Price:511.11
S:2017-02-25 22:54:05 E:2017-03-17 15:43:27 Price:521.27
S:2017-03-17 15:43:27 E:2017-05-27 00:22:39 Price:527.79
S:2017-05-27 00:22:39 E:2017-06-07 06:05:41 Price:686.13
S:2017-06-07 06:05:41 E:2017-06-30 16:25:09 Price:527.79
S:2017-06-30 16:25:09 E:2017-07-14 17:53:07 Price:527.82
S:2017-07-14 17:53:07 E:2017-07-22 11:35:21 Price:511.96
S:2017-07-22 11:35:21 E:2018-02-05 13:53:18 Price:527.82
S:2018-02-05 13:53:18 E:2018-02-13 20:12:35 Price:557.99
S:2018-02-13 20:12:35 E:2018-02-23 15:32:12 Price:527.82
S:2018-02-23 15:32:12 E:2018-02-24 05:20:06 Price:665.59
S:2018-02-24 05:20:06 E:2020-03-31 12:04:06 Price:923.71}],S:2011-05-10 07:00:57 E:2015-05-10 12:05:00 Price:null
S:2015-05-10 12:05:00 E:2016-04-29 02:40:53 Price:923.71
S:2016-04-29 02:40:53 E:2016-09-03 06:08:39 Price:null
S:2016-09-03 06:08:39 E:2016-12-02 03:48:02 Price:923.71
S:2016-12-02 03:48:02 E:2017-01-02 10:02:50 Price:588.03
S:2017-01-02 10:02:50 E:2017-01-12 00:25:34 Price:547.97
S:2017-01-12 00:25:34 E:2017-01-18 01:36:59 Price:547.27
S:2017-01-18 01:36:59 E:2017-02-20 16:18:06 Price:531.58
S:2017-02-20 16:18:06 E:2017-02-21 02:38:08 Price:526.42
S:2017-02-21 02:38:08 E:2017-02-25 22:54:05 Price:511.11
S:2017-02-25 22:54:05 E:2017-03-17 15:43:27 Price:521.27
S:2017-03-17 15:43:27 E:2017-05-27 00:22:39 Price:527.79
S:2017-05-27 00:22:39 E:2017-06-07 06:05:41 Price:686.13
S:2017-06-07 06:05:41 E:2017-06-30 16:25:09 Price:527.79
S:2017-06-30 16:25:09 E:2017-07-14 17:53:07 Price:527.82
S:2017-07-14 17:53:07 E:2017-07-22 11:35:21 Price:511.96
S:2017-07-22 11:35:21 E:2018-02-05 13:53:18 Price:527.82
S:2018-02-05 13:53:18 E:2018-02-13 20:12:35 Price:557.99
S:2018-02-13 20:12:35 E:2018-02-23 15:32:12 Price:527.82
S:2018-02-23 15:32:12 E:2018-02-24 05:20:06 Price:665.59
S:2018-02-24 05:20:06 E:2020-03-31 12:04:06 Price:923.71}],S:2011-05-10 07:00:57 E:2015-05-10 12:05:00 Price:null
S:2015-05-10 12:05:00 E:2016-04-29 02:40:53 Price:923.71
S:2016-04-29 02:40:53 E:2016-09-03 06:08:39 Price:null
S:2016-09-03 06:08:39 E:2016-12-02 03:48:02 Price:923.71
S:2016-12-02 03:48:02 E:2017-01-02 10:02:50 Price:588.03
S:2017-01-02 10:02:50 E:2017-01-12 00:25:34 Price:547.97
S:2017-01-12 00:25:34 E:2017-01-18 01:36:59 Price:547.27
S:2017-01-18 01:36:59 E:2017-02-20 16:18:06 Price:531.58
S:2017-02-20 16:18:06 E:2017-02-21 02:38:08 Price:526.42
S:2017-02-21 02:38:08 E:2017-02-25 22:54:05 Price:511.11
S:2017-02-25 22:54:05 E:2017-03-17 15:43:27 Price:521.27
S:2017-03-17 15:43:27 E:2017-05-27 00:22:39 Price:527.79
S:2017-05-27 00:22:39 E:2017-06-07 06:05:41 Price:686.13
S:2017-06-07 06:05:41 E:2017-06-30 16:25:09 Price:527.79
S:2017-06-30 16:25:09 E:2017-07-14 17:53:07 Price:527.82
S:2017-07-14 17:53:07 E:2017-07-22 11:35:21 Price:511.96
S:2017-07-22 11:35:21 E:2018-02-05 13:53:18 Price:527.82
S:2018-02-05 13:53:18 E:2018-02-13 20:12:35 Price:557.99
S:2018-02-13 20:12:35 E:2018-02-23 15:32:12 Price:527.82
S:2018-02-23 15:32:12 E:2018-02-24 05:20:06 Price:665.59
S:2018-02-24 05:20:06 E:2020-03-31 12:04:06 Price:923.71}],
