S:2011-03-24 23:59:09 E:2015-05-09 09:12:22 Price:null
S:2015-05-09 09:12:22 E:2015-12-21 13:42:06 Price:10.59
S:2015-12-21 13:42:06 E:2015-12-21 13:59:50 Price:null
S:2015-12-21 13:59:50 E:2015-12-21 23:10:04 Price:10.59
S:2015-12-21 23:10:04 E:2015-12-23 02:39:20 Price:null
S:2015-12-23 02:39:20 E:2015-12-31 19:05:09 Price:63.54
S:2015-12-31 19:05:09 E:2017-11-09 11:46:12 Price:10.59
S:2017-11-09 11:46:12 E:2017-11-09 12:46:21 Price:null
S:2017-11-09 12:46:21 E:2017-11-16 00:17:12 Price:10.59
S:2017-11-16 00:17:12 E:2017-11-16 01:17:28 Price:null
S:2017-11-16 01:17:28 E:2017-11-19 02:32:10 Price:10.59
S:2017-11-19 02:32:10 E:2017-11-19 03:32:15 Price:null
S:2017-11-19 03:32:15 E:2017-11-20 21:19:05 Price:10.59
S:2017-11-20 21:19:05 E:2017-11-20 22:21:17 Price:null
S:2017-11-20 22:21:17 E:2017-11-28 22:41:13 Price:10.59
S:2017-11-28 22:41:13 E:2017-11-28 23:41:22 Price:null
S:2017-11-28 23:41:22 E:2017-11-29 19:01:02 Price:10.59
S:2017-11-29 19:01:02 E:2017-11-29 20:01:11 Price:null
S:2017-11-29 20:01:11 E:2017-12-14 04:13:34 Price:10.59
S:2017-12-14 04:13:34 E:2017-12-14 05:13:07 Price:null
S:2017-12-14 05:13:07 E:2017-12-15 09:37:30 Price:10.59
S:2017-12-15 09:37:30 E:2017-12-15 10:36:43 Price:null
S:2017-12-15 10:36:43 E:2017-12-26 04:07:07 Price:10.59
S:2017-12-26 04:07:07 E:2017-12-26 05:08:32 Price:null
S:2017-12-26 05:08:32 E:2017-12-27 07:34:14 Price:10.59
S:2017-12-27 07:34:14 E:2017-12-27 08:34:34 Price:null
S:2017-12-27 08:34:34 E:2017-12-30 01:50:26 Price:10.59
S:2017-12-30 01:50:26 E:2017-12-30 02:51:39 Price:null
S:2017-12-30 02:51:39 E:2018-01-01 09:48:25 Price:10.59
S:2018-01-01 09:48:25 E:2018-01-01 10:48:29 Price:null
S:2018-01-01 10:48:29 E:2018-01-02 14:18:00 Price:10.59
S:2018-01-02 14:18:00 E:2018-01-02 15:17:21 Price:null
S:2018-01-02 15:17:21 E:2018-01-06 08:48:22 Price:10.59
S:2018-01-06 08:48:22 E:2018-01-06 09:48:32 Price:null
S:2018-01-06 09:48:32 E:2018-01-13 07:52:37 Price:10.59
S:2018-01-13 07:52:37 E:2018-01-13 08:53:38 Price:null
S:2018-01-13 08:53:38 E:2018-01-16 08:04:33 Price:10.59
S:2018-01-16 08:04:33 E:2018-01-16 09:04:40 Price:null
S:2018-01-16 09:04:40 E:2018-01-17 03:23:24 Price:10.59
S:2018-01-17 03:23:24 E:2018-01-17 04:23:28 Price:null
S:2018-01-17 04:23:28 E:2018-01-20 11:40:14 Price:10.59
S:2018-01-20 11:40:14 E:2018-01-20 12:40:22 Price:null
S:2018-01-20 12:40:22 E:2018-01-26 18:11:21 Price:10.59
S:2018-01-26 18:11:21 E:2018-01-26 19:12:39 Price:null
S:2018-01-26 19:12:39 E:2018-01-27 20:36:46 Price:10.59
S:2018-01-27 20:36:46 E:2018-01-27 21:36:34 Price:null
S:2018-01-27 21:36:34 E:2018-01-30 01:28:26 Price:10.59
S:2018-01-30 01:28:26 E:2018-01-30 02:28:14 Price:null
S:2018-01-30 02:28:14 E:2018-02-19 05:03:27 Price:10.59
S:2018-02-19 05:03:27 E:2018-02-19 06:03:31 Price:null
S:2018-02-19 06:03:31 E:2018-04-08 22:39:16 Price:10.59
S:2018-04-08 22:39:16 E:2018-04-08 23:50:36 Price:null
S:2018-04-08 23:50:36 E:2018-07-24 14:55:26 Price:10.59
S:2018-07-24 14:55:26 E:2018-07-25 02:59:34 Price:null
S:2018-07-25 02:59:34 E:2020-03-31 11:35:01 Price:10.59}],S:2011-03-24 23:59:09 E:2015-05-09 09:12:22 Price:null
S:2015-05-09 09:12:22 E:2015-12-21 13:42:06 Price:10.59
S:2015-12-21 13:42:06 E:2015-12-21 13:59:50 Price:null
S:2015-12-21 13:59:50 E:2015-12-21 23:10:04 Price:10.59
S:2015-12-21 23:10:04 E:2015-12-23 02:39:20 Price:null
S:2015-12-23 02:39:20 E:2015-12-31 19:05:09 Price:63.54
S:2015-12-31 19:05:09 E:2017-11-09 11:46:12 Price:10.59
