S:2013-11-20 19:59:19 E:2015-05-10 01:39:11 Price:null
S:2015-05-10 01:39:11 E:2016-04-28 05:04:13 Price:693.65
S:2016-04-28 05:04:13 E:2016-09-02 21:04:52 Price:null
S:2016-09-02 21:04:52 E:2016-12-02 11:59:23 Price:693.65
S:2016-12-02 11:59:23 E:2016-12-10 00:55:13 Price:360.99
S:2016-12-10 00:55:13 E:2017-02-18 18:28:57 Price:358.99
S:2017-02-18 18:28:57 E:2017-04-06 23:06:35 Price:357.99
S:2017-04-06 23:06:35 E:2017-05-09 15:24:00 Price:359.99
S:2017-05-09 15:24:00 E:2017-05-11 19:06:44 Price:357.99
S:2017-05-11 19:06:44 E:2017-05-18 21:41:30 Price:356.49
S:2017-05-18 21:41:30 E:2017-05-28 12:00:05 Price:345.99
S:2017-05-28 12:00:05 E:2017-06-04 23:15:07 Price:337.99
S:2017-06-04 23:15:07 E:2017-06-14 21:53:30 Price:357.99
S:2017-06-14 21:53:30 E:2017-06-19 04:22:17 Price:348.99
S:2017-06-19 04:22:17 E:2017-07-07 17:13:04 Price:331.2
S:2017-07-07 17:13:04 E:2017-09-08 12:10:48 Price:357.99
S:2017-09-08 12:10:48 E:2017-09-17 22:51:44 Price:357.98
S:2017-09-17 22:51:44 E:2017-09-21 18:05:19 Price:327.99
S:2017-09-21 18:05:19 E:2017-10-03 03:08:21 Price:323.99
S:2017-10-03 03:08:21 E:2017-10-06 06:10:01 Price:329.87
S:2017-10-06 06:10:01 E:2017-11-04 23:15:44 Price:357.99
S:2017-11-04 23:15:44 E:2017-11-11 01:50:37 Price:357.98
S:2017-11-11 01:50:37 E:2017-11-16 06:38:15 Price:328.99
S:2017-11-16 06:38:15 E:2017-12-23 20:15:36 Price:329.87
S:2017-12-23 20:15:36 E:2018-01-28 11:33:04 Price:324.08
S:2018-01-28 11:33:04 E:2018-01-28 22:02:19 Price:693.65
S:2018-01-28 22:02:19 E:2018-01-28 23:37:22 Price:324.08
S:2018-01-28 23:37:22 E:2018-01-29 14:36:08 Price:693.65
S:2018-01-29 14:36:08 E:2018-01-29 14:46:17 Price:324.08
S:2018-01-29 14:46:17 E:2018-01-29 17:01:00 Price:693.65
S:2018-01-29 17:01:00 E:2018-01-29 17:47:52 Price:324.08
S:2018-01-29 17:47:52 E:2018-01-30 23:14:30 Price:693.65
S:2018-01-30 23:14:30 E:2018-01-31 00:51:24 Price:null
S:2018-01-31 00:51:24 E:2018-01-31 21:50:51 Price:693.65
S:2018-01-31 21:50:51 E:2018-02-01 03:55:32 Price:324.08
S:2018-02-01 03:55:32 E:2018-02-02 02:13:06 Price:693.65
S:2018-02-02 02:13:06 E:2018-02-02 03:56:53 Price:324.08
S:2018-02-02 03:56:53 E:2018-02-03 02:24:00 Price:693.65
S:2018-02-03 02:24:00 E:2018-02-03 09:58:14 Price:324.08
S:2018-02-03 09:58:14 E:2020-03-31 12:05:53 Price:693.65}],S:2013-11-20 19:59:19 E:2015-05-10 01:39:11 Price:null
S:2015-05-10 01:39:11 E:2016-04-28 05:04:13 Price:693.65
S:2016-04-28 05:04:13 E:2016-09-02 21:04:52 Price:null
S:2016-09-02 21:04:52 E:2016-12-02 11:59:23 Price:693.65
S:2016-12-02 11:59:23 E:2016-12-10 00:55:13 Price:360.99
S:2016-12-10 00:55:13 E:2017-02-18 18:28:57 Price:358.99
S:2017-02-18 18:28:57 E:2017-04-06 23:06:35 Price:357.99
S:2017-04-06 23:06:35 E:2017-05-09 15:24:00 Price:359.99
S:2017-05-09 15:24:00 E:2017-05-11 19:06:44 Price:357.99
S:2017-05-11 19:06:44 E:2017-05-18 21:41:30 Price:356.49
S:2017-05-18 21:41:30 E:2017-05-28 12:00:05 Price:345.99
S:2017-05-28 12:00:05 E:2017-06-04 23:15:07 Price:337.99
S:2017-06-04 23:15:07 E:2017-06-14 21:53:30 Price:357.99
