S:2013-12-27 23:00:38 E:2015-05-07 21:59:40 Price:null
S:2015-05-07 21:59:40 E:2015-08-06 23:43:48 Price:22.99
S:2015-08-06 23:43:48 E:2015-08-21 16:28:31 Price:24.99
S:2015-08-21 16:28:31 E:2015-08-22 01:33:37 Price:40.98
S:2015-08-22 01:33:37 E:2015-08-31 19:56:59 Price:24.99
S:2015-08-31 19:56:59 E:2015-09-01 02:33:45 Price:40.98
S:2015-09-01 02:33:45 E:2015-10-07 06:56:45 Price:24.99
S:2015-10-07 06:56:45 E:2016-04-28 01:31:58 Price:20.69
S:2016-04-28 01:31:58 E:2016-04-28 03:13:45 Price:null
S:2016-04-28 03:13:45 E:2016-04-28 04:33:30 Price:20.69
S:2016-04-28 04:33:30 E:2016-07-01 09:39:48 Price:null
S:2016-07-01 09:39:48 E:2016-07-01 09:43:52 Price:20.07
S:2016-07-01 09:43:52 E:2016-07-02 10:10:02 Price:null
S:2016-07-02 10:10:02 E:2016-07-02 11:42:58 Price:20.07
S:2016-07-02 11:42:58 E:2016-08-30 13:18:03 Price:null
S:2016-08-30 13:18:03 E:2016-08-30 14:50:52 Price:17.41
S:2016-08-30 14:50:52 E:2016-08-31 17:23:41 Price:null
S:2016-08-31 17:23:41 E:2016-08-31 18:53:14 Price:17.41
S:2016-08-31 18:53:14 E:2016-09-02 23:21:39 Price:null
S:2016-09-02 23:21:39 E:2016-11-30 17:11:43 Price:20.69
S:2016-11-30 17:11:43 E:2016-11-30 20:33:59 Price:17.68
S:2016-11-30 20:33:59 E:2016-11-30 22:19:40 Price:20.69
S:2016-11-30 22:19:40 E:2016-11-30 23:53:47 Price:17.68
S:2016-11-30 23:53:47 E:2016-12-01 15:56:12 Price:20.69
S:2016-12-01 15:56:12 E:2016-12-09 00:20:40 Price:17.68
S:2016-12-09 00:20:40 E:2016-12-11 13:23:16 Price:17.38
S:2016-12-11 13:23:16 E:2017-03-15 22:23:48 Price:null
S:2017-03-15 22:23:48 E:2017-03-27 06:25:24 Price:20.69
S:2017-03-27 06:25:24 E:2017-03-27 08:04:18 Price:16.9
S:2017-03-27 08:04:18 E:2017-03-27 09:52:20 Price:20.69
S:2017-03-27 09:52:20 E:2017-03-27 21:23:31 Price:16.9
S:2017-03-27 21:23:31 E:2017-04-18 03:07:35 Price:20.69
S:2017-04-18 03:07:35 E:2017-06-25 03:46:07 Price:null
S:2017-06-25 03:46:07 E:2017-06-26 22:19:28 Price:14.94
S:2017-06-26 22:19:28 E:2017-06-27 03:18:36 Price:21.02
S:2017-06-27 03:18:36 E:2017-08-02 02:05:44 Price:14.94
S:2017-08-02 02:05:44 E:2017-08-03 05:29:03 Price:15.28
S:2017-08-03 05:29:03 E:2017-08-03 18:53:32 Price:15.43
S:2017-08-03 18:53:32 E:2017-08-04 06:31:19 Price:15.27
S:2017-08-04 06:31:19 E:2017-08-05 09:37:41 Price:15.28
S:2017-08-05 09:37:41 E:2017-08-05 16:10:33 Price:21.76
S:2017-08-05 16:10:33 E:2017-08-05 19:31:50 Price:25.34
S:2017-08-05 19:31:50 E:2017-08-06 07:11:52 Price:15.28
S:2017-08-06 07:11:52 E:2017-08-06 08:53:29 Price:25.7
S:2017-08-06 08:53:29 E:2017-08-06 15:36:52 Price:24.08
S:2017-08-06 15:36:52 E:2017-08-06 20:35:54 Price:24.9
S:2017-08-06 20:35:54 E:2017-08-07 14:54:55 Price:15.28
S:2017-08-07 14:54:55 E:2017-08-08 08:46:34 Price:14.92
S:2017-08-08 08:46:34 E:2017-08-08 15:25:17 Price:25.56
S:2017-08-08 15:25:17 E:2017-08-08 18:34:40 Price:14.92
S:2017-08-08 18:34:40 E:2017-08-08 20:22:41 Price:25.56
S:2017-08-08 20:22:41 E:2017-08-08 23:41:06 Price:14.92
S:2017-08-08 23:41:06 E:2017-08-09 01:19:16 Price:25.56
S:2017-08-09 01:19:16 E:2017-08-09 08:02:57 Price:25.79
S:2017-08-09 08:02:57 E:2017-08-09 11:28:17 Price:21
S:2017-08-09 11:28:17 E:2017-08-09 23:01:59 Price:25.79
S:2017-08-09 23:01:59 E:2017-08-10 04:04:24 Price:14.92
S:2017-08-10 04:04:24 E:2017-08-10 09:58:15 Price:24
S:2017-08-10 09:58:15 E:2017-08-10 16:38:06 Price:24.83
S:2017-08-10 16:38:06 E:2017-08-10 19:51:19 Price:14.92
S:2017-08-10 19:51:19 E:2017-08-11 04:13:48 Price:25.58
S:2017-08-11 04:13:48 E:2017-08-11 05:54:24 Price:14.92
S:2017-08-11 05:54:24 E:2017-08-11 14:07:45 Price:25.58
S:2017-08-11 14:07:45 E:2017-08-12 16:12:53 Price:14.92
S:2017-08-12 16:12:53 E:2017-08-13 04:42:54 Price:25.73
S:2017-08-13 04:42:54 E:2017-08-13 10:29:03 Price:14.92
S:2017-08-13 10:29:03 E:2017-08-13 12:58:11 Price:25.73
S:2017-08-13 12:58:11 E:2017-08-14 02:18:35 Price:14.92
S:2017-08-14 02:18:35 E:2017-08-14 04:00:24 Price:25.77
S:2017-08-14 04:00:24 E:2017-08-14 12:26:17 Price:14.92
S:2017-08-14 12:26:17 E:2017-08-14 14:54:29 Price:25.77
S:2017-08-14 14:54:29 E:2017-08-14 19:06:41 Price:14.92
S:2017-08-14 19:06:41 E:2017-08-14 22:25:33 Price:25.77
S:2017-08-14 22:25:33 E:2017-08-15 09:08:59 Price:14.92
S:2017-08-15 09:08:59 E:2017-08-15 14:10:42 Price:25.77
S:2017-08-15 14:10:42 E:2017-08-15 17:31:35 Price:26.15
S:2017-08-15 17:31:35 E:2017-08-15 19:08:17 Price:15.28
S:2017-08-15 19:08:17 E:2017-08-15 22:30:34 Price:26.15
S:2017-08-15 22:30:34 E:2017-08-16 03:30:19 Price:15.12
S:2017-08-16 03:30:19 E:2017-08-16 14:28:48 Price:25.99
S:2017-08-16 14:28:48 E:2017-08-17 00:20:14 Price:26.15
S:2017-08-17 00:20:14 E:2017-08-17 03:48:49 Price:15.28
S:2017-08-17 03:48:49 E:2017-08-17 10:26:43 Price:26.15
S:2017-08-17 10:26:43 E:2017-08-17 20:27:52 Price:15.28
S:2017-08-17 20:27:52 E:2017-08-18 02:14:34 Price:25.99
S:2017-08-18 02:14:34 E:2017-08-18 14:41:48 Price:15.12
S:2017-08-18 14:41:48 E:2017-08-18 18:08:55 Price:25.99
S:2017-08-18 18:08:55 E:2017-08-19 04:04:12 Price:15.28
S:2017-08-19 04:04:12 E:2017-08-19 10:47:35 Price:25.99
S:2017-08-19 10:47:35 E:2017-08-19 14:08:58 Price:25.83
S:2017-08-19 14:08:58 E:2017-08-19 22:26:01 Price:25.78
S:2017-08-19 22:26:01 E:2017-08-20 05:58:06 Price:14.96
S:2017-08-20 05:58:06 E:2017-08-20 10:02:32 Price:25.78
S:2017-08-20 10:02:32 E:2017-08-20 15:06:54 Price:25.83
S:2017-08-20 15:06:54 E:2017-08-20 16:45:45 Price:14.96
S:2017-08-20 16:45:45 E:2017-08-21 04:23:23 Price:25.78
S:2017-08-21 04:23:23 E:2017-08-21 09:23:19 Price:14.96
S:2017-08-21 09:23:19 E:2017-08-21 14:22:36 Price:25.78
S:2017-08-21 14:22:36 E:2017-08-21 22:40:35 Price:14.96
S:2017-08-21 22:40:35 E:2017-08-22 03:46:57 Price:25.78
S:2017-08-22 03:46:57 E:2017-08-24 07:43:50 Price:25.81
S:2017-08-24 07:43:50 E:2017-08-24 12:48:28 Price:25.67
S:2017-08-24 12:48:28 E:2017-08-25 03:39:48 Price:25.62
S:2017-08-25 03:39:48 E:2017-08-25 10:20:51 Price:25.67
S:2017-08-25 10:20:51 E:2017-08-25 18:46:33 Price:25.62
S:2017-08-25 18:46:33 E:2017-08-25 23:43:30 Price:14.82
S:2017-08-25 23:43:30 E:2017-08-26 16:22:15 Price:25.62
