S:2015-02-03 10:00:00 E:2015-09-10 09:46:00 Price:null
S:2015-09-10 09:46:00 E:2015-09-19 01:29:00 Price:13.99
S:2015-09-19 01:29:00 E:2015-09-24 16:39:00 Price:14.49
S:2015-09-24 16:39:00 E:2017-12-08 23:21:21 Price:13.99
S:2017-12-08 23:21:21 E:2017-12-09 00:22:24 Price:null
S:2017-12-09 00:22:24 E:2017-12-16 16:42:03 Price:13.99
S:2017-12-16 16:42:03 E:2017-12-16 17:43:21 Price:null
S:2017-12-16 17:43:21 E:2017-12-20 08:17:26 Price:13.99
S:2017-12-20 08:17:26 E:2017-12-20 10:08:32 Price:null
S:2017-12-20 10:08:32 E:2017-12-29 08:29:33 Price:13.99
S:2017-12-29 08:29:33 E:2017-12-29 09:31:12 Price:null
S:2017-12-29 09:31:12 E:2018-01-09 11:35:13 Price:13.99
S:2018-01-09 11:35:13 E:2018-01-09 12:36:43 Price:null
S:2018-01-09 12:36:43 E:2020-03-31 12:54:46 Price:13.99}],S:2015-02-03 10:00:00 E:2015-09-10 09:46:00 Price:null
S:2015-09-10 09:46:00 E:2015-09-19 01:29:00 Price:13.99
S:2015-09-19 01:29:00 E:2015-09-24 16:39:00 Price:14.49
S:2015-09-24 16:39:00 E:2017-12-08 23:21:21 Price:13.99
S:2017-12-08 23:21:21 E:2017-12-09 00:22:24 Price:null
S:2017-12-09 00:22:24 E:2017-12-16 16:42:03 Price:13.99
S:2017-12-16 16:42:03 E:2017-12-16 17:43:21 Price:null
S:2017-12-16 17:43:21 E:2017-12-20 08:17:26 Price:13.99
S:2017-12-20 08:17:26 E:2017-12-20 10:08:32 Price:null
S:2017-12-20 10:08:32 E:2017-12-29 08:29:33 Price:13.99
S:2017-12-29 08:29:33 E:2017-12-29 09:31:12 Price:null
S:2017-12-29 09:31:12 E:2018-01-09 11:35:13 Price:13.99
S:2018-01-09 11:35:13 E:2018-01-09 12:36:43 Price:null
S:2018-01-09 12:36:43 E:2020-03-31 12:54:46 Price:13.99}],S:2015-02-03 10:00:00 E:2015-09-10 09:46:00 Price:null
S:2015-09-10 09:46:00 E:2015-09-19 01:29:00 Price:13.99
S:2015-09-19 01:29:00 E:2015-09-24 16:39:00 Price:14.49
S:2015-09-24 16:39:00 E:2017-12-08 23:21:21 Price:13.99
S:2017-12-08 23:21:21 E:2017-12-09 00:22:24 Price:null
S:2017-12-09 00:22:24 E:2017-12-16 16:42:03 Price:13.99
S:2017-12-16 16:42:03 E:2017-12-16 17:43:21 Price:null
S:2017-12-16 17:43:21 E:2017-12-20 08:17:26 Price:13.99
S:2017-12-20 08:17:26 E:2017-12-20 10:08:32 Price:null
S:2017-12-20 10:08:32 E:2017-12-29 08:29:33 Price:13.99
S:2017-12-29 08:29:33 E:2017-12-29 09:31:12 Price:null
S:2017-12-29 09:31:12 E:2018-01-09 11:35:13 Price:13.99
S:2018-01-09 11:35:13 E:2018-01-09 12:36:43 Price:null
S:2018-01-09 12:36:43 E:2020-03-31 12:54:46 Price:13.99}],
