S:2015-02-02 13:00:00 E:2015-05-07 23:42:00 Price:null
S:2015-05-07 23:42:00 E:2015-10-07 19:58:00 Price:10.69
S:2015-10-07 19:58:00 E:2017-12-13 21:33:31 Price:11.49
S:2017-12-13 21:33:31 E:2017-12-13 22:34:15 Price:null
S:2017-12-13 22:34:15 E:2017-12-31 03:15:17 Price:11.49
S:2017-12-31 03:15:17 E:2017-12-31 04:16:21 Price:null
S:2017-12-31 04:16:21 E:2018-01-06 04:12:18 Price:11.49
S:2018-01-06 04:12:18 E:2018-01-06 05:13:32 Price:null
S:2018-01-06 05:13:32 E:2018-01-07 19:05:00 Price:11.49
S:2018-01-07 19:05:00 E:2018-01-07 20:05:22 Price:null
S:2018-01-07 20:05:22 E:2018-01-12 23:32:15 Price:11.49
S:2018-01-12 23:32:15 E:2018-01-13 00:33:14 Price:null
S:2018-01-13 00:33:14 E:2018-01-20 12:23:12 Price:11.49
S:2018-01-20 12:23:12 E:2018-01-20 13:24:15 Price:null
S:2018-01-20 13:24:15 E:2018-01-23 02:10:43 Price:11.49
S:2018-01-23 02:10:43 E:2018-01-23 03:11:11 Price:null
S:2018-01-23 03:11:11 E:2019-06-10 08:43:05 Price:11.49
S:2019-06-10 08:43:05 E:2019-06-10 20:45:33 Price:null
S:2019-06-10 20:45:33 E:2019-07-23 07:51:07 Price:11.49
S:2019-07-23 07:51:07 E:2019-07-23 20:52:10 Price:null
S:2019-07-23 20:52:10 E:2020-01-31 11:24:25 Price:11.49
S:2020-01-31 11:24:25 E:2020-03-31 12:59:14 Price:10.99}],S:2015-02-02 13:00:00 E:2015-05-07 23:42:00 Price:null
S:2015-05-07 23:42:00 E:2015-10-07 19:58:00 Price:10.69
S:2015-10-07 19:58:00 E:2017-12-13 21:33:31 Price:11.49
S:2017-12-13 21:33:31 E:2017-12-13 22:34:15 Price:null
S:2017-12-13 22:34:15 E:2017-12-31 03:15:17 Price:11.49
S:2017-12-31 03:15:17 E:2017-12-31 04:16:21 Price:null
S:2017-12-31 04:16:21 E:2018-01-06 04:12:18 Price:11.49
S:2018-01-06 04:12:18 E:2018-01-06 05:13:32 Price:null
S:2018-01-06 05:13:32 E:2018-01-07 19:05:00 Price:11.49
S:2018-01-07 19:05:00 E:2018-01-07 20:05:22 Price:null
S:2018-01-07 20:05:22 E:2018-01-12 23:32:15 Price:11.49
S:2018-01-12 23:32:15 E:2018-01-13 00:33:14 Price:null
S:2018-01-13 00:33:14 E:2018-01-20 12:23:12 Price:11.49
S:2018-01-20 12:23:12 E:2018-01-20 13:24:15 Price:null
S:2018-01-20 13:24:15 E:2018-01-23 02:10:43 Price:11.49
S:2018-01-23 02:10:43 E:2018-01-23 03:11:11 Price:null
S:2018-01-23 03:11:11 E:2019-06-10 08:43:05 Price:11.49
S:2019-06-10 08:43:05 E:2019-06-10 20:45:33 Price:null
S:2019-06-10 20:45:33 E:2019-07-23 07:51:07 Price:11.49
S:2019-07-23 07:51:07 E:2019-07-23 20:52:10 Price:null
S:2019-07-23 20:52:10 E:2020-01-31 11:24:25 Price:11.49
S:2020-01-31 11:24:25 E:2020-03-31 12:59:14 Price:10.99}],S:2015-02-02 13:00:00 E:2015-05-07 23:42:00 Price:null
S:2015-05-07 23:42:00 E:2015-10-07 19:58:00 Price:10.69
S:2015-10-07 19:58:00 E:2017-12-13 21:33:31 Price:11.49
S:2017-12-13 21:33:31 E:2017-12-13 22:34:15 Price:null
S:2017-12-13 22:34:15 E:2017-12-31 03:15:17 Price:11.49
S:2017-12-31 03:15:17 E:2017-12-31 04:16:21 Price:null
S:2017-12-31 04:16:21 E:2018-01-06 04:12:18 Price:11.49
S:2018-01-06 04:12:18 E:2018-01-06 05:13:32 Price:null
S:2018-01-06 05:13:32 E:2018-01-07 19:05:00 Price:11.49
S:2018-01-07 19:05:00 E:2018-01-07 20:05:22 Price:null
S:2018-01-07 20:05:22 E:2018-01-12 23:32:15 Price:11.49
S:2018-01-12 23:32:15 E:2018-01-13 00:33:14 Price:null
S:2018-01-13 00:33:14 E:2018-01-20 12:23:12 Price:11.49
S:2018-01-20 12:23:12 E:2018-01-20 13:24:15 Price:null
S:2018-01-20 13:24:15 E:2018-01-23 02:10:43 Price:11.49
S:2018-01-23 02:10:43 E:2018-01-23 03:11:11 Price:null
S:2018-01-23 03:11:11 E:2019-06-10 08:43:05 Price:11.49
S:2019-06-10 08:43:05 E:2019-06-10 20:45:33 Price:null
S:2019-06-10 20:45:33 E:2019-07-23 07:51:07 Price:11.49
S:2019-07-23 07:51:07 E:2019-07-23 20:52:10 Price:null
S:2019-07-23 20:52:10 E:2020-01-31 11:24:25 Price:11.49
S:2020-01-31 11:24:25 E:2020-03-31 12:59:14 Price:10.99}],
