S:2015-05-05 22:54:46 E:2016-02-17 07:08:00 Price:19.99
S:2016-02-17 07:08:00 E:2016-05-01 21:54:31 Price:21.99
S:2016-05-01 21:54:31 E:2016-09-03 19:51:43 Price:null
S:2016-09-03 19:51:43 E:2016-12-01 01:31:33 Price:21.99
S:2016-12-01 01:31:33 E:2016-12-01 03:17:37 Price:22.97
S:2016-12-01 03:17:37 E:2016-12-01 17:03:01 Price:21.99
S:2016-12-01 17:03:01 E:2016-12-09 18:50:40 Price:22.97
S:2016-12-09 18:50:40 E:2016-12-23 19:23:21 Price:22.77
S:2016-12-23 19:23:21 E:2016-12-23 20:55:10 Price:22.8
S:2016-12-23 20:55:10 E:2017-02-14 08:47:29 Price:17.99
S:2017-02-14 08:47:29 E:2017-02-16 08:30:25 Price:20
S:2017-02-16 08:30:25 E:2017-02-16 10:13:41 Price:21.32
S:2017-02-16 10:13:41 E:2017-02-16 11:54:20 Price:20.82
S:2017-02-16 11:54:20 E:2017-02-16 13:30:46 Price:20.76
S:2017-02-16 13:30:46 E:2017-02-16 15:07:45 Price:20.64
S:2017-02-16 15:07:45 E:2017-02-16 17:39:33 Price:20.55
S:2017-02-16 17:39:33 E:2017-02-16 19:20:18 Price:20.32
S:2017-02-16 19:20:18 E:2017-02-16 20:59:42 Price:21.06
S:2017-02-16 20:59:42 E:2017-02-16 22:43:07 Price:21.81
S:2017-02-16 22:43:07 E:2017-02-17 00:23:12 Price:22.33
S:2017-02-17 00:23:12 E:2017-02-20 11:32:00 Price:20
S:2017-02-20 11:32:00 E:2017-02-20 13:07:36 Price:21.32
S:2017-02-20 13:07:36 E:2017-02-20 14:48:27 Price:22.76
S:2017-02-20 14:48:27 E:2017-02-20 18:07:59 Price:20.8
S:2017-02-20 18:07:59 E:2017-02-23 06:26:36 Price:20.04
S:2017-02-23 06:26:36 E:2017-02-25 14:17:35 Price:20.8
S:2017-02-25 14:17:35 E:2017-02-25 15:54:37 Price:22.13
S:2017-02-25 15:54:37 E:2017-02-25 17:32:39 Price:22.11
S:2017-02-25 17:32:39 E:2017-02-25 19:11:15 Price:22.76
S:2017-02-25 19:11:15 E:2017-02-25 20:59:09 Price:22.72
S:2017-02-25 20:59:09 E:2017-02-25 22:32:54 Price:22.76
S:2017-02-25 22:32:54 E:2017-02-26 04:25:38 Price:22.64
S:2017-02-26 04:25:38 E:2017-03-01 12:36:43 Price:20.8
S:2017-03-01 12:36:43 E:2017-03-01 15:07:40 Price:22.17
S:2017-03-01 15:07:40 E:2017-03-01 16:41:30 Price:22.15
S:2017-03-01 16:41:30 E:2017-03-03 02:06:53 Price:20.82
S:2017-03-03 02:06:53 E:2017-03-03 10:37:14 Price:22.38
S:2017-03-03 10:37:14 E:2017-03-08 14:12:21 Price:22.71
S:2017-03-08 14:12:21 E:2017-03-09 13:54:10 Price:22.72
S:2017-03-09 13:54:10 E:2017-03-09 15:34:33 Price:22.66
S:2017-03-09 15:34:33 E:2017-03-09 17:16:35 Price:22.59
S:2017-03-09 17:16:35 E:2017-03-09 20:36:43 Price:22.46
S:2017-03-09 20:36:43 E:2017-03-09 23:50:27 Price:22.27
S:2017-03-09 23:50:27 E:2017-03-10 04:52:13 Price:22.16
S:2017-03-10 04:52:13 E:2017-03-10 07:24:27 Price:22.3
S:2017-03-10 07:24:27 E:2017-03-10 11:57:38 Price:22.17
S:2017-03-10 11:57:38 E:2017-03-11 03:10:43 Price:22.16
S:2017-03-11 03:10:43 E:2017-03-11 04:52:05 Price:22.77
S:2017-03-11 04:52:05 E:2017-03-11 08:13:33 Price:22.54
S:2017-03-11 08:13:33 E:2017-03-11 10:42:56 Price:22.57
S:2017-03-11 10:42:56 E:2017-03-11 14:53:04 Price:22.34
S:2017-03-11 14:53:04 E:2017-03-12 08:26:16 Price:22.16
S:2017-03-12 08:26:16 E:2017-03-13 03:43:23 Price:22.77
S:2017-03-13 03:43:23 E:2017-03-14 15:51:57 Price:22.97
S:2017-03-14 15:51:57 E:2017-03-14 19:19:19 Price:22.64
S:2017-03-14 19:19:19 E:2017-03-14 21:48:48 Price:22.58
S:2017-03-14 21:48:48 E:2017-03-15 02:48:38 Price:22.19
S:2017-03-15 02:48:38 E:2017-03-15 06:52:08 Price:21.09
S:2017-03-15 06:52:08 E:2017-03-15 11:45:23 Price:22.69
S:2017-03-15 11:45:23 E:2017-03-16 02:57:11 Price:21.93
S:2017-03-16 02:57:11 E:2017-03-16 07:28:49 Price:22.97
S:2017-03-16 07:28:49 E:2017-03-17 04:37:39 Price:21.93
S:2017-03-17 04:37:39 E:2017-03-17 08:52:55 Price:22.74
S:2017-03-17 08:52:55 E:2017-03-17 11:07:14 Price:22.68
S:2017-03-17 11:07:14 E:2017-03-17 14:33:51 Price:22.67
S:2017-03-17 14:33:51 E:2017-03-17 16:10:38 Price:22.61
S:2017-03-17 16:10:38 E:2017-03-17 22:05:14 Price:22.6
S:2017-03-17 22:05:14 E:2017-03-17 23:45:42 Price:22.54
S:2017-03-17 23:45:42 E:2017-03-18 04:48:19 Price:22.47
S:2017-03-18 04:48:19 E:2017-03-18 23:04:16 Price:21.93
S:2017-03-18 23:04:16 E:2017-03-19 04:11:34 Price:22.97
S:2017-03-19 04:11:34 E:2017-03-20 00:18:56 Price:21.93
S:2017-03-20 00:18:56 E:2017-03-20 20:12:18 Price:22.84
S:2017-03-20 20:12:18 E:2017-04-08 17:28:16 Price:22.97
S:2017-04-08 17:28:16 E:2017-04-12 00:44:00 Price:14.99
S:2017-04-12 00:44:00 E:2017-04-14 01:56:25 Price:16.06
S:2017-04-14 01:56:25 E:2017-04-15 11:15:18 Price:20.81
S:2017-04-15 11:15:18 E:2017-04-15 12:47:51 Price:24.15
S:2017-04-15 12:47:51 E:2017-04-16 02:10:57 Price:20.86
S:2017-04-16 02:10:57 E:2017-04-18 16:40:31 Price:20.82
S:2017-04-18 16:40:31 E:2017-04-19 11:00:26 Price:22.97
S:2017-04-19 11:00:26 E:2017-04-20 00:22:10 Price:20.81
S:2017-04-20 00:22:10 E:2017-04-23 00:48:35 Price:22.97
S:2017-04-23 00:48:35 E:2017-04-23 20:56:41 Price:16.18
S:2017-04-23 20:56:41 E:2017-04-26 00:47:48 Price:16.19
S:2017-04-26 00:47:48 E:2017-04-27 08:35:29 Price:16.08
S:2017-04-27 08:35:29 E:2017-04-30 00:07:42 Price:29.24
S:2017-04-30 00:07:42 E:2017-04-30 10:08:16 Price:36.94
S:2017-04-30 10:08:16 E:2017-05-01 01:02:20 Price:56.99
S:2017-05-01 01:02:20 E:2017-05-01 21:56:11 Price:21.01
S:2017-05-01 21:56:11 E:2017-05-02 07:20:01 Price:21.55
S:2017-05-02 07:20:01 E:2017-05-03 08:24:17 Price:16.13
S:2017-05-03 08:24:17 E:2017-05-06 04:20:12 Price:21.55
S:2017-05-06 04:20:12 E:2017-05-13 09:54:34 Price:33.63
S:2017-05-13 09:54:34 E:2017-05-16 11:49:04 Price:21.25
S:2017-05-16 11:49:04 E:2017-05-16 15:12:54 Price:22.97
S:2017-05-16 15:12:54 E:2017-05-16 16:47:26 Price:22.32
S:2017-05-16 16:47:26 E:2017-05-16 18:30:49 Price:21.58
S:2017-05-16 18:30:49 E:2017-05-19 20:48:23 Price:20.85
S:2017-05-19 20:48:23 E:2017-05-19 22:30:47 Price:22.97
S:2017-05-19 22:30:47 E:2017-05-20 01:45:35 Price:21.26
S:2017-05-20 01:45:35 E:2017-05-20 14:08:48 Price:20.82
S:2017-05-20 14:08:48 E:2017-05-25 10:24:18 Price:18.95
S:2017-05-25 10:24:18 E:2017-05-30 22:11:16 Price:20.48
S:2017-05-30 22:11:16 E:2017-05-31 06:08:13 Price:19.88
S:2017-05-31 06:08:13 E:2017-05-31 21:44:24 Price:20.06
S:2017-05-31 21:44:24 E:2017-06-01 07:21:34 Price:19.39
S:2017-06-01 07:21:34 E:2017-06-01 15:02:36 Price:18.97
S:2017-06-01 15:02:36 E:2017-06-04 09:50:26 Price:18.3
S:2017-06-04 09:50:26 E:2017-06-06 19:27:54 Price:17.88
S:2017-06-06 19:27:54 E:2017-06-09 03:05:37 Price:17.87
S:2017-06-09 03:05:37 E:2017-06-09 09:12:24 Price:16.78
S:2017-06-09 09:12:24 E:2017-06-22 06:26:43 Price:22.97
S:2017-06-22 06:26:43 E:2017-06-23 04:22:20 Price:17.55
S:2017-06-23 04:22:20 E:2017-06-24 08:12:21 Price:15.8
S:2017-06-24 08:12:21 E:2017-06-25 07:18:34 Price:21.55
S:2017-06-25 07:18:34 E:2017-07-18 11:23:57 Price:17.87
S:2017-07-18 11:23:57 E:2017-07-19 09:10:02 Price:null
S:2017-07-19 09:10:02 E:2017-07-22 02:32:53 Price:17.87
S:2017-07-22 02:32:53 E:2017-07-22 21:51:17 Price:null
S:2017-07-22 21:51:17 E:2017-07-28 12:11:19 Price:17.87
S:2017-07-28 12:11:19 E:2017-08-02 13:09:09 Price:null
S:2017-08-02 13:09:09 E:2017-08-06 10:55:19 Price:20.48
S:2017-08-06 10:55:19 E:2017-08-08 23:13:28 Price:null
S:2017-08-08 23:13:28 E:2017-08-09 00:48:28 Price:20.8
S:2017-08-09 00:48:28 E:2017-08-09 04:06:13 Price:20.5
S:2017-08-09 04:06:13 E:2017-08-13 01:27:38 Price:null
S:2017-08-13 01:27:38 E:2017-08-13 15:43:41 Price:20.87
S:2017-08-13 15:43:41 E:2017-08-15 13:33:43 Price:19.46
S:2017-08-15 13:33:43 E:2017-08-16 02:12:31 Price:null
S:2017-08-16 02:12:31 E:2017-08-18 05:26:09 Price:20.48
S:2017-08-18 05:26:09 E:2017-08-20 06:19:48 Price:19.4
S:2017-08-20 06:19:48 E:2017-08-22 12:42:44 Price:19.78
S:2017-08-22 12:42:44 E:2017-08-31 18:45:32 Price:20.48
S:2017-08-31 18:45:32 E:2017-09-05 14:04:11 Price:19.99
S:2017-09-05 14:04:11 E:2017-09-05 14:56:52 Price:19.21
S:2017-09-05 14:56:52 E:2017-09-08 13:43:47 Price:19
S:2017-09-08 13:43:47 E:2017-09-12 10:49:48 Price:19.77
S:2017-09-12 10:49:48 E:2017-09-12 15:22:17 Price:17.84
S:2017-09-12 15:22:17 E:2017-09-12 19:30:41 Price:17.82
S:2017-09-12 19:30:41 E:2017-09-12 21:46:00 Price:16.42
S:2017-09-12 21:46:00 E:2017-09-14 00:43:48 Price:16
S:2017-09-14 00:43:48 E:2017-09-14 23:06:40 Price:14.88
S:2017-09-14 23:06:40 E:2017-09-17 13:43:19 Price:14.86
S:2017-09-17 13:43:19 E:2017-09-19 08:58:13 Price:18.97
S:2017-09-19 08:58:13 E:2017-09-21 08:25:55 Price:19.77
S:2017-09-21 08:25:55 E:2017-10-10 03:44:10 Price:19.99
S:2017-10-10 03:44:10 E:2017-10-19 01:47:29 Price:20.48
S:2017-10-19 01:47:29 E:2017-10-19 18:19:18 Price:18.8
S:2017-10-19 18:19:18 E:2017-10-20 01:00:57 Price:18.18
